127.0.0.1 - - [11/Jan/2019:18:01:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:06 +0800] "GET /MyDiary/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:06 +0800] "GET /MyDiary//logInOut/Login.jsp HTTP/1.1" 200 4910
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:06 +0800] "GET /MyDiary//bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:06 +0800] "GET /MyDiary//bootstrap-3.3.7/js/jquery-2.1.0.js HTTP/1.1" 200 254072
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:06 +0800] "GET /MyDiary//img/site_logo.png HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:06 +0800] "GET /MyDiary//bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:06 +0800] "GET /MyDiary//img/background.png HTTP/1.1" 200 497354
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "POST /MyDiary/logInOut/LogCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/index.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/js/jquery-2.1.0.js HTTP/1.1" 200 254072
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/headMesg.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/menuBar.jsp HTTP/1.1" 200 3756
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/img/background.png HTTP/1.1" 200 497354
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/img/site_logo.png HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/AllDiarys.jsp HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/css/datetimepicker.css HTTP/1.1" 200 26136
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/js/bootstrap-datetimepicker.js HTTP/1.1" 200 69247
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:13 +0800] "GET /MyDiary/bootstrap-3.3.7/js/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:15 +0800] "GET /MyDiary/WriteDiary.jsp HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:15 +0800] "GET /MyDiary/ueditor/ueditor.all.js HTTP/1.1" 200 1136706
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:15 +0800] "GET /MyDiary/ueditor/ueditor.config.js HTTP/1.1" 200 21673
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:15 +0800] "GET /MyDiary/ueditor/lang/zh-cn/zh-cn.js HTTP/1.1" 200 30020
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:15 +0800] "GET /MyDiary/ueditor/themes/default/css/ueditor.css HTTP/1.1" 200 45705
0:0:0:0:0:0:0:1 - - [11/Jan/2019:18:01:15 +0800] "GET /MyDiary/img/write-background.jpg HTTP/1.1" 404 1058
